ID	Source	Source_Reference_ID	Entrez_Gene_ID	Symbol
ILMN_2659724	RefSeq	NM_181752.1	238252	Gpr135
ILMN_2706226	RefSeq	NM_146552.1	258545	Olfr811
ILMN_1217123	RefSeq	NM_011770.2	22779	Zfpn1a2
ILMN_2780205	RefSeq	NM_009818.1	12385	Ctnna1
ILMN_2713160	RefSeq	NM_025517.1	66368	Rtcd1
ILMN_2650094	RefSeq	NM_010670.1	16694	Krtap12-1
ILMN_2703479	RefSeq	NM_007820.1	13114	Cyp3a16
ILMN_2952493	RefSeq	NM_001081647.1	433722	LOC433722
ILMN_2731592	RefSeq	NM_028126.1	72149	2610019A05Rik
ILMN_2729743	MEEBO	scl40645.2_300	NA	1810073N04Rik
ILMN_1252621	RefSeq	NM_133927.1	101142	2700050P07Rik
ILMN_3162407	MEEBO	scl022695.1_83	NA	Zfp36
ILMN_2692952	RefSeq	NM_177377.2	329831	4833436C18Rik
ILMN_2910076	RefSeq	NM_199148.1	218275	BC051665
ILMN_2709047	MEEBO	scl25476.15.1_91	NA	Paf53
ILMN_2718462	MEEBO	scl41892.7.15_25	NA	0610009J22Rik
ILMN_2882078	RefSeq	NM_172705.1	230936	Phf13
ILMN_2882079	RefSeq	NM_172705.1	230936	Phf13
ILMN_2771368	MEEBO	scl0001508.1_4	NA	Acox1
ILMN_2724039	RefSeq	NM_010454.1	15403	Hoxa6
ILMN_2965621	RefSeq	NM_175455.2	218440	6430502M16Rik
ILMN_1241452	RefSeq	NM_029239.2	75292	Prkcn
ILMN_2834728	RefSeq	NM_029239.2	75292	Prkcn
ILMN_1221007	RefSeq	NM_029239.2	75292	Prkcn
ILMN_2892507	RefSeq	NM_010242.2	14345	Fut4
ILMN_2598594	MEEBO	scl0242891.1_147	NA	Gm443
ILMN_2984153	RefSeq	NM_001024928.2	384763	Zfp667
ILMN_2967455	RefSeq	NM_011625.1	21981	Ppp1r13b
ILMN_1237626	RefSeq	NM_011625.1	21981	Ppp1r13b
ILMN_2732718	RefSeq	NM_011625.1	21981	Ppp1r13b
ILMN_2658795	MEEBO	scl38454.14_295	NA	E2f7
ILMN_1226659	RefSeq	NM_020565.1	57430	Sult3a1
ILMN_1230278	MEEBO	scl27604.2_9	NA	Cxcl5
ILMN_2769925	MEEBO	scl011682.1_236	NA	Alk
ILMN_1236889	RefSeq	NM_011347.1	20344	Selp
ILMN_3001341	RefSeq	NM_031396.1	83674	Cnnm1
ILMN_2657394	RefSeq	NM_031396.1	83674	Cnnm1
ILMN_1250628	RefSeq	NM_026858.2	68876	2410012H02Rik
ILMN_2627217	RefSeq	NM_025951.1	67073	Pi4k2b
ILMN_2594897	RefSeq	NM_025951.1	67073	Pi4k2b
ILMN_1245424	MEEBO	scl26453.11_0	NA	Ppat
ILMN_2700728	RefSeq	NM_173783.2	215641	B430216B18Rik
ILMN_1227431	MEEBO	scl8635.2.1_16	NA	V1re6
ILMN_2599917	RefSeq	NM_176924.2	319482	9530053A07Rik
ILMN_2924299	RefSeq	NM_133759.1	75291	Zbtb3
ILMN_2809571	RefSeq	NM_001034863.1	235300	Tmem136
ILMN_2738707	MEEBO	scl29596.13.1_10	NA	Anubl1
ILMN_2866276	RefSeq	NM_009970.1	12982	Csf2ra
ILMN_2628647	MEEBO	scl40512.21.1_20	NA	Ddc
ILMN_2964728	RefSeq	NM_175471.2	230582	2810410C14Rik
ILMN_2696207	MEEBO	scl52056.1.1_211	NA	Pcdhb21
ILMN_2697012	MEEBO	scl50294.5_202	NA	Dact2
ILMN_2669958	RefSeq	NM_138681.2	192197	Bcas3
ILMN_1219309	MEEBO	scl30564.4.1_58	NA	4930404H21Rik
ILMN_2762745	MEEBO	scl51251.1.72_30	NA	Miz1
ILMN_2664681	MEEBO	scl51251.1.72_30	NA	Miz1
ILMN_2919869	RefSeq	NM_146687.1	258682	Olfr1436
ILMN_2639092	RefSeq	NM_146687.1	258682	Olfr1436
ILMN_1232766	RefSeq	NM_178653.2	109232	C330023F11Rik
ILMN_2589403	MEEBO	scl018146.8_16	NA	Npdc1
ILMN_2632092	MEEBO	scl30419.24_421	NA	Ppp1r9a
ILMN_1231439	MEEBO	scl39250.15_28	NA	Aatk
ILMN_1254473	RefSeq	XM_141028.1	NA	LOC241525
ILMN_1246452	MEEBO	scl42293.9_384	NA	Wdr22
ILMN_2654366	RefSeq	NM_178621.2	70911	Phyhipl
ILMN_2650115	MEEBO	scl21141.20.1_28	NA	A930008K15Rik
ILMN_1215331	MEEBO	scl42096.25.1_25	NA	Dicer1
ILMN_2827780	RefSeq	NM_199015.1	219132	D14Ertd668e
ILMN_2684848	RefSeq	NM_199015.1	219132	D14Ertd668e
ILMN_1245063	MEEBO	scl0233231.1_107	NA	Mrgprb1
ILMN_1223735	RefSeq	XM_354617.1	NA	Myh8
ILMN_1253876	MEEBO	scl072124.8_39	NA	Seh1l
ILMN_2870295	RefSeq	NM_016674.2	12737	Cldn1
ILMN_1241965	MEEBO	scl29705.1.670_4	NA	Mitf
ILMN_2610771	MEEBO	scl44316.15_164	NA	Net1
ILMN_1238317	MEEBO	scl47202.3_616	NA	A830094I09Rik
ILMN_2663780	RefSeq	NM_013493.2	12785	Cnbp1
ILMN_2732092	MEEBO	scl51356.6_394	NA	Grpel2
ILMN_2927643	RefSeq	NM_183097.1	73453	1700067K01Rik
ILMN_2605423	RefSeq	NM_028771.1	52132	D7Ertd462e
ILMN_2971011	RefSeq	NM_007804.2	13048	Cutl2
ILMN_1234471	RefSeq	NM_007804.2	13048	Cutl2
ILMN_1248236	RefSeq	NM_007804.2	13048	Cutl2
ILMN_1236299	MEEBO	scl39476.5.1_191	NA	Lyzl6
ILMN_2611906	MEEBO	scl54293.3_316	NA	Apln
ILMN_2516844	RefSeq	NM_134225.1	171259	V1ri9
ILMN_3093375	RefSeq	NM_001001450.1	387132	Ssxb2
ILMN_3021016	RefSeq	NM_001001450.1	387132	Ssxb2
ILMN_1238794	RefSeq	NM_027832.1	71578	Sval1
ILMN_1244377	MEEBO	scl0101883.3_27	NA	MGC30332
ILMN_2651715	RefSeq	NM_009465.2	26362	Axl
ILMN_2636143	MEEBO	scl0387510.1_98	NA	Ifnk
ILMN_2621882	MEEBO	scl27078.4.1_81	NA	0910001L09Rik
ILMN_2736360	MEEBO	scl24628.3.441_60	NA	2610002J02Rik
ILMN_2534526	RefSeq	XM_137914.3	NA	LOC238011
ILMN_2591570	RefSeq	NM_011492.1	20869	Stk11
ILMN_1254663	MEEBO	scl15910.11_547	NA	Igsf4b
ILMN_1255691	RefSeq	NM_130861.1	108096	Slco1a5
ILMN_3096982	RefSeq	NM_001081126.1	240888	Gpr161
ILMN_2612125	RefSeq	NM_133962.3	102098	Arhgef18
ILMN_2598788	RefSeq	NM_008045.2	14308	Fshb
ILMN_2680635	RefSeq	NM_007429.2	11609	Agtr2
ILMN_3154279	RefSeq	NM_001029836.1	114249	Npnt
ILMN_2750789	MEEBO	scl39857.20.1_310	NA	4732497O03Rik
ILMN_3161438	RefSeq	NM_001011774.1	257936	Olfr1028
ILMN_2634564	RefSeq	NM_026676.1	68327	0610007P22Rik
ILMN_1215157	RefSeq	NM_026676.1	68327	0610007P22Rik
ILMN_1216623	RefSeq	NM_026676.1	68327	0610007P22Rik
ILMN_2772117	MEEBO	scl15934.8.1_70	NA	Itln2
ILMN_1235072	MEEBO	scl18205.11_294	NA	Gmeb2
ILMN_1242331	RefSeq	NM_181543.1	240239	Gpr151
ILMN_2629227	RefSeq	NM_146835.1	258832	Olfr109
ILMN_2994788	RefSeq	NM_011820.2	23887	Ggtla1
ILMN_2801974	RefSeq	NM_175151.2	69694	Tatdn1
ILMN_2930242	RefSeq	NM_020280.1	17140	Magea4
ILMN_2819679	RefSeq	NM_027935.2	71817	Tmem50a
ILMN_2729503	RefSeq	NM_028082.1	72068	Cnot2
ILMN_2704360	RefSeq	NM_028082.1	72068	Cnot2
ILMN_1241657	RefSeq	NM_028082.1	72068	Cnot2
ILMN_1226731	RefSeq	NM_009632.2	11546	Adprtl2
ILMN_2598576	RefSeq	NM_009632.2	11546	Adprtl2
ILMN_2650106	MEEBO	scl0108991.1_11	NA	1700001A24Rik
ILMN_2746576	RefSeq	NM_007845.1	13219	Defcr-rs10
ILMN_1258977	MEEBO	scl27747.9_51	NA	1600019D15Rik
ILMN_1234558	MEEBO	scl27747.9_51	NA	1600019D15Rik
ILMN_1258943	MEEBO	scl0067667.1_112	NA	4930562C03Rik
ILMN_3160208	RefSeq	NM_029706.1	76703	Cpb1
ILMN_2811562	RefSeq	NM_146515.1	258508	Olfr99
ILMN_3162081	RefSeq	NM_031392.2	83669	Wdr6
ILMN_1252512	RefSeq	NM_181855.1	195772	Magea9
ILMN_1216308	RefSeq	NM_175477.2	232976	Zfp574
ILMN_2707099	MEEBO	scl0001401.1_29	NA	Mgl2
ILMN_1234415	MEEBO	scl42117.7.1_71	NA	Prima1
ILMN_2773201	MEEBO	scl2745.1.1_216	NA	Rnase2
ILMN_2693176	MEEBO	scl40175.7.1_79	NA	Obscn
ILMN_2913913	RefSeq	NM_001009573.2	70450	Unc13d
ILMN_2833786	RefSeq	NM_024166.4	14004	Chchd2
ILMN_2793616	RefSeq	NM_172714.1	231506	Lin54
ILMN_2951995	RefSeq	NM_175682.2	319259	9930021D14Rik
ILMN_1217009	RefSeq	NM_134050.2	104886	Rab15
ILMN_2752830	MEEBO	scl48832.3.4_9	NA	Pcp4
ILMN_2737237	RefSeq	NM_026646.1	68267	Slc25a22
ILMN_3133448	RefSeq	NM_001045489.1	17304	Mfge8
ILMN_2623393	RefSeq	NM_009692.1	11806	Apoa1
ILMN_2895862	RefSeq	NM_008946.2	19175	Psmb6
ILMN_2736774	MEEBO	scl0020862.1_160	NA	Stfa2
ILMN_2727163	MEEBO	scl24783.6.1_45	NA	Pla2g2a
ILMN_2741066	RefSeq	NM_183199.1	327799	E430004F17Rik
ILMN_2898403	RefSeq	NM_172582.1	217707	Coq6
ILMN_2766720	RefSeq	NM_172582.1	217707	Coq6
ILMN_1229589	RefSeq	NM_172582.1	217707	Coq6
ILMN_1242663	RefSeq	NM_146943.1	258945	Olfr347
ILMN_2871535	RefSeq	NM_001080972.1	626299	LOC626299
ILMN_2833163	RefSeq	NM_173375.1	208164	BC064033
ILMN_2732851	RefSeq	NM_008192.1	14919	Gucy2e
ILMN_2714222	RefSeq	NM_019423.1	54326	Elovl2
ILMN_2857679	RefSeq	NM_011615.2	21945	Dedd
ILMN_2645074	RefSeq	NM_011615.2	21945	Dedd
ILMN_2680026	RefSeq	NM_011166.1	19111	Prlpb
ILMN_2630120	MEEBO	scl46940.15_253	NA	Mkl1
ILMN_2712196	MEEBO	scl000123.1_453	NA	Ggn
ILMN_1236734	MEEBO	scl20347.7.1_28	NA	Slc24a5
ILMN_3163144	RefSeq	NM_001025378.1	18393	Orc2l
ILMN_2461345	MEEBO	scl47817.3_456	NA	Zfp41
ILMN_2760810	RefSeq	NM_176860.3	72828	2810457I06Rik
ILMN_2792601	RefSeq	NM_175116.2	67168	P2ry5
ILMN_2664858	RefSeq	NM_028001.1	71912	2300003C06Rik
ILMN_2621667	RefSeq	NM_173365.1	239530	Gpr20
ILMN_3043469	RefSeq	NM_001080780.1	19713	Ret
ILMN_3131225	RefSeq	NM_130903.2	170776	Cd209c
ILMN_3054469	RefSeq	NM_130903.2	170776	Cd209c
ILMN_2646926	RefSeq	NM_130903.2	170776	Cd209c
ILMN_2605268	MEEBO	scl22997.10_102	NA	AI663987
ILMN_1244756	RefSeq	NM_023397.3	67881	1810034K20Rik
ILMN_1247833	RefSeq	NM_027315.2	70093	Ube2q
ILMN_1259048	RefSeq	NM_027315.2	70093	Ube2q
ILMN_2721571	MEEBO	scl027218.8_34	NA	Slamf1
ILMN_1249863	MEEBO	scl027218.8_34	NA	Slamf1
ILMN_2766559	MEEBO	scl067847.9_37	NA	Sncaip
ILMN_2711267	RefSeq	NM_010664.1	16668	Krt1-18
ILMN_2759398	MEEBO	scl011496.6_30	NA	Adam22
ILMN_2611621	RefSeq	NM_146432.1	258424	Olfr1512
ILMN_2965773	RefSeq	NM_053256.1	114640	Tifp39
ILMN_2823195	RefSeq	NM_053177.1	94178	Mcoln1
ILMN_1252013	RefSeq	NM_007492.3	11878	Arx
ILMN_2786469	RefSeq	NM_027941.1	71827	Lrrc34
ILMN_1213681	RefSeq	NM_024179.3	66839	0610009O20Rik
ILMN_2650775	MEEBO	scl47758.7_314	NA	C78541
ILMN_2908874	RefSeq	NM_024260.3	73288	Ccdc132
ILMN_1256834	RefSeq	NM_010341.1	14767	Gpr66
ILMN_2963700	RefSeq	NM_053197.2	94280	Sfxn3
ILMN_1217021	RefSeq	NM_053197.2	94280	Sfxn3
ILMN_2963704	RefSeq	NM_053197.2	94280	Sfxn3
ILMN_2607563	MEEBO	scl22882.20_49	NA	Arnt
ILMN_2728802	MEEBO	scl22882.20_49	NA	Arnt
ILMN_2720846	RefSeq	NM_146807.1	258803	Olfr136
ILMN_2713396	RefSeq	NM_207522.1	216292	BC067068
ILMN_3063340	RefSeq	NM_008318.1	15891	Ibsp
ILMN_3141106	RefSeq	NM_008318.1	15891	Ibsp
ILMN_2613938	RefSeq	NM_010666.1	16675	Krt1-c29
ILMN_2845312	RefSeq	NM_206871.1	15969	LOC384100
ILMN_1240188	MEEBO	scl53737.7_11	NA	Apex2
ILMN_2764057	MEEBO	scl34974.1.1_106	NA	Adrb3
ILMN_2719803	RefSeq	NM_019992.2	56792	AI586015
ILMN_2725964	RefSeq	NM_019992.2	56792	AI586015
ILMN_2673233	MEEBO	scl44308.24_307	NA	Pfkp
ILMN_1237695	MEEBO	scl44308.24_307	NA	Pfkp
ILMN_2822915	RefSeq	NM_172827.1	240028	Lnpep
ILMN_1217725	RefSeq	NM_172827.1	240028	Lnpep
ILMN_2682845	RefSeq	NM_172827.1	240028	Lnpep
ILMN_1242150	RefSeq	NM_172827.1	240028	Lnpep
ILMN_2614728	MEEBO	scl31976.12_83	NA	Acadsb
ILMN_2605109	RefSeq	NM_207140.1	258241	Olfr1212
ILMN_1246800	RefSeq	NM_009252.1	20716	Serpina3n
ILMN_2917386	RefSeq	NM_181796.2	14869	Gstp2
ILMN_2743818	RefSeq	NM_146062.1	223828	1600022A19Rik
ILMN_2691317	RefSeq	NM_146062.1	223828	1600022A19Rik
ILMN_1243225	RefSeq	NM_146062.1	223828	1600022A19Rik
ILMN_1255085	RefSeq	NM_146062.1	223828	1600022A19Rik
ILMN_2732301	RefSeq	NM_146062.1	223828	1600022A19Rik
ILMN_2936165	RefSeq	NM_007535.2	12046	Bcl2a1c
ILMN_2416670	MEEBO	scl19105.6_353	NA	Ttn
ILMN_1257284	MEEBO	scl20330.11.1_76	NA	Blvra
ILMN_1239181	RefSeq	NM_026393.1	67824	1110025F24Rik
ILMN_2688213	MEEBO	scl28534.23.1_70	NA	Atp2b2
ILMN_1247257	RefSeq	NM_010274.2	14571	Gpd2
ILMN_1215797	RefSeq	NM_010274.2	14571	Gpd2
ILMN_1239397	RefSeq	NM_013820.1	15277	Hk2
ILMN_1220393	MEEBO	scl33795.5_730	NA	4933428A15Rik
ILMN_1212619	MEEBO	scl33795.5_730	NA	4933428A15Rik
ILMN_2641069	RefSeq	NM_023900.1	78670	Plekhj1
ILMN_2625352	RefSeq	NM_025624.1	66537	2510048O06Rik
ILMN_2715664	MEEBO	scl0011908.1_11	NA	Atf1
ILMN_2663186	RefSeq	NM_009837.1	12464	Cct4
ILMN_2611510	RefSeq	NM_025315.1	108098	Surb7
ILMN_2732401	MEEBO	scl47257.2_377	NA	C130068O12Rik
ILMN_2657583	MEEBO	scl053321.25_1	NA	Cntnap1
ILMN_2647119	MEEBO	scl35833.10.1_110	NA	2700038L12Rik
ILMN_3124364	MEEBO	scl35833.10.1_110	NA	2700038L12Rik
ILMN_2825898	RefSeq	NM_001009819.2	215493	A3galt2
ILMN_2740432	MEEBO	scl0110954.5_51	NA	Rpl10
ILMN_2664739	RefSeq	NM_183366.1	13522	Adam28
ILMN_2786973	RefSeq	NM_172750.1	234072	Adprhl1
ILMN_1247158	RefSeq	NM_172750.1	234072	Adprhl1
ILMN_1257998	RefSeq	NM_172750.1	234072	Adprhl1
ILMN_1252185	MEEBO	scl52516.7.1_18	NA	Rbp4
ILMN_1234604	RefSeq	NM_029282.1	75425	2610036D13Rik
ILMN_3161049	RefSeq	NM_145998.2	15372	Hmx2
ILMN_2618597	RefSeq	NM_175752.1	108699	Chn1
ILMN_2722556	MEEBO	scl0258242.1_313	NA	Olfr955
ILMN_2603742	RefSeq	NM_146648.1	258642	Olfr1165
ILMN_2455830	RefSeq	NM_030731.1	81003	Trim23
ILMN_2879221	RefSeq	NM_030731.1	81003	Trim23
ILMN_2879225	RefSeq	NM_030731.1	81003	Trim23
ILMN_2685478	RefSeq	NM_023697.1	105014	Rdh14
ILMN_2685477	RefSeq	NM_023697.1	105014	Rdh14
ILMN_2954714	RefSeq	NM_053241.2	114141	Cldn16
ILMN_2675033	MEEBO	scl54362.18.1_192	NA	Slc9a7
ILMN_2670713	MEEBO	scl40305.32_46	NA	Cyfip2
ILMN_2733651	RefSeq	NM_010799.1	17330	Minpp1
ILMN_1253545	RefSeq	NM_010799.1	17330	Minpp1
ILMN_1237235	RefSeq	NM_010799.1	17330	Minpp1
ILMN_2617971	RefSeq	NM_010799.1	17330	Minpp1
ILMN_2703704	RefSeq	NM_010799.1	17330	Minpp1
ILMN_2703702	RefSeq	NM_010799.1	17330	Minpp1
ILMN_2701855	MEEBO	scl0003028.1_68	NA	B430104H02Rik
ILMN_1245115	MEEBO	scl0003028.1_68	NA	B430104H02Rik
ILMN_2677270	MEEBO	scl018616.1_273	NA	Peg3
ILMN_3001415	RefSeq	NM_001039941.1	664723	Cypt8
ILMN_1244292	MEEBO	scl16289.14.1_134	NA	Sox13
ILMN_2999158	RefSeq	NM_029347.1	75578	2310009E04Rik
ILMN_2719246	RefSeq	NM_207026.1	387351	Tas2r124
ILMN_2755578	MEEBO	scl20011.1_69	NA	Nnat
ILMN_1232456	MEEBO	scl20011.1_69	NA	Nnat
ILMN_1255735	RefSeq	NM_011329.1	20290	Ccl1
ILMN_2719522	MEEBO	scl50109.17_26	NA	Stk38
ILMN_2636395	RefSeq	NM_146691.1	258686	Olfr1467
ILMN_2729834	RefSeq	NM_029556.2	69634	Clybl
ILMN_1259577	MEEBO	scl30350.29.528_238	NA	Cftr
ILMN_2641111	RefSeq	NM_007875.2	13478	Dpagt1
ILMN_2825866	RefSeq	NR_002870.1	474332	Dnm3os
ILMN_3083227	RefSeq	NM_009529.2	22526	Xmr
ILMN_3008642	RefSeq	NM_199319.1	387586	Ssxb5
ILMN_2635801	RefSeq	NM_025636.1	66566	2310079N02Rik
ILMN_1215862	MEEBO	scl26373.4_395	NA	Cxcl9
ILMN_2759932	RefSeq	NM_175369.2	108811	4933415L06Rik
ILMN_2792036	RefSeq	NM_027562.1	70809	Clec2g
ILMN_2896857	RefSeq	NM_172879.1	242838	4932412H11Rik
ILMN_2711966	MEEBO	scl0094061.1_118	NA	Mrpl1
ILMN_2747281	MEEBO	scl0094061.1_118	NA	Mrpl1
ILMN_1235592	RefSeq	NM_011549.2	21425	Tcfeb
ILMN_2939434	RefSeq	NM_011549.2	21425	Tcfeb
ILMN_2592010	RefSeq	NM_026633.1	68241	9530058B02Rik
ILMN_2904819	RefSeq	NM_026633.1	68241	9530058B02Rik
ILMN_2741445	RefSeq	NM_133954.1	101985	AA960436
ILMN_3008733	RefSeq	NM_133954.1	101985	AA960436
ILMN_2722383	RefSeq	NM_010710.2	16870	Lhx2
ILMN_3161105	RefSeq	NM_001033476.1	382643	AI450948
ILMN_2621086	MEEBO	scl36056.10_126	NA	Fli1
ILMN_2752867	RefSeq	NM_025292.2	24071	Synj2bp
ILMN_1252068	RefSeq	NM_025292.2	24071	Synj2bp
ILMN_2693760	RefSeq	NM_025292.2	24071	Synj2bp
ILMN_2715234	RefSeq	NM_183263.1	67390	4833420N02Rik
ILMN_2485044	RefSeq	NM_009450.1	22151	Tubb2
ILMN_2871441	RefSeq	NM_008496.4	16858	Lgals7
ILMN_2616382	RefSeq	NM_153528.1	207798	4921521N14Rik
ILMN_2711608	MEEBO	scl0073608.1_25	NA	Marveld3
ILMN_2632585	MEEBO	scl0073608.1_25	NA	Marveld3
ILMN_2850048	RefSeq	NM_134221.1	171255	V1ri4
ILMN_1248895	RefSeq	NM_198037.1	320508	B430218L07Rik
ILMN_1241872	RefSeq	NM_198037.1	320508	B430218L07Rik
ILMN_2460745	RefSeq	NM_030246.1	73828	Wdr21
ILMN_2903972	RefSeq	NM_008809.1	18596	Pdgfrb
ILMN_3160842	RefSeq	NM_001013792.1	432940	BC087945
ILMN_2708006	MEEBO	scl37654.3_4	NA	Ascl1
ILMN_2800183	RefSeq	NM_013555.2	15438	Hoxd9
ILMN_3006729	RefSeq	NM_147010.1	259012	Olfr1052
ILMN_2981818	RefSeq	NM_025305.1	50529	Mrps7
ILMN_2981821	RefSeq	NM_025305.1	50529	Mrps7
ILMN_2846792	RefSeq	NM_001077633.1	620253	Dcpp3
ILMN_2792560	RefSeq	NM_025348.1	66091	Ndufa3
ILMN_1222602	RefSeq	NM_175403.2	109154	2410014A08Rik
ILMN_2596230	RefSeq	NM_175403.2	109154	2410014A08Rik
ILMN_2744036	RefSeq	NM_175403.2	109154	2410014A08Rik
ILMN_2997796	RefSeq	NM_175403.2	109154	2410014A08Rik
ILMN_2808472	RefSeq	NM_008227.1	15168	Hcn3
ILMN_2667921	RefSeq	NM_146815.1	258811	Olfr926
ILMN_2656854	MEEBO	scl36667.1.143_75	NA	Myo6
ILMN_1240266	MEEBO	scl36131.12_27	NA	Ankrd25
ILMN_2919850	RefSeq	NM_008511.2	16970	Lrmp
ILMN_2870913	RefSeq	NM_001013788.1	432743	EG432743
ILMN_2946899	RefSeq	NM_001080708.1	69553	2310033K02Rik
ILMN_2941805	RefSeq	NM_207551.1	404311	Olfr209
ILMN_2724785	RefSeq	NM_010598.2	16498	Kcnab2
ILMN_2527490	RefSeq	XM_355340.1	NA	LOC381375
ILMN_3161563	RefSeq	NM_001002005.1	406218	Panx2
ILMN_2662036	MEEBO	scl39533.9.1_23	NA	1700113I22Rik
ILMN_2596569	MEEBO	scl39533.9.1_23	NA	1700113I22Rik
ILMN_2795410	RefSeq	NM_025326.2	66058	Tmem176a
ILMN_2795412	RefSeq	NM_025326.2	66058	Tmem176a
ILMN_2809247	RefSeq	NM_026519.1	68032	Tmem85
ILMN_2809239	RefSeq	NM_026519.1	68032	Tmem85
