gs_name	DE
HALLMARK_XENOBIOTIC_METABOLISM	cbr1;ddt;rbp4;ccl25b;ssr3;mt2;SLC6A13;slc1a5;adh5;psmb10;gsr
HALLMARK_MYC_TARGETS_V1	hnrnpd;eif4a1a;srm;cct5;lsm7;ifrd1;rps2;rps5;rpl34;psmd14;rplp0;cnbpa;cyc1;nme2b.1;hspe1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	prdx2;ndufa6;TXN;srxn1;gsr
HALLMARK_ADIPOGENESIS	ddt;pim3;ndufs3;cox8a;uck1;mgst3a;sdhc;stat5a;slc1a5;cyc1;jagn1a;ucp2;angptl4
HALLMARK_OXIDATIVE_PHOSPHORYLATION	ndufs3;atp5mc1;cox8a;atp5mc3b;ldhba;atp5mf;mgst3a;ndufa4;cox7c;sdhc;cyc1;ndufa6;slc25a5;ndufs7;sdhdb
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	thbs2a;mmp2;COLGALT1;cd59;fstl3;pmp22b;abi3bpa
HALLMARK_MTORC1_SIGNALING	ifrd1;trib3;psmd14;sec11a;atp5mc1;rdh12;slc1a5;tpi1b;hspe1;tfr1a;gsr
HALLMARK_UV_RESPONSE_UP	nr4a1;selenow1;h2afx;SLC6A13;ctsla;irf1b;tfr1a
HALLMARK_INTERFERON_ALPHA_RESPONSE	txnipa;epsti1;trafd1;irf1b;pkz
HALLMARK_HYPOXIA	siah2l;pnrc1;mif;mt2;tpi1b;gpc4;phkg1a;angptl4;ugp2a
HALLMARK_TNFA_SIGNALING_VIA_NFKB	nr4a1;pnrc1;per1a;stat5a;irf1b;dusp2;klf9
HALLMARK_FATTY_ACID_METABOLISM	cbr1;glulb;rdh12;mif;sdhc;sdhdb
HALLMARK_GLYCOLYSIS	mif;sdhc;tpi1b;gpc4;TXN;slc16a3;angptl4;ugp2a
HALLMARK_ALLOGRAFT_REJECTION	rpl3;rpl39;cd40;nme2b.1;hcls1;rps19;psmb10;si:ch211-165d12.4
HALLMARK_ANGIOGENESIS	ntd5
HALLMARK_MYC_TARGETS_V2	srm;hspe1;dusp2
HALLMARK_COAGULATION	lamp2;mmp2;ctsla
HALLMARK_E2F_TARGETS	hnrnpd;h2afx;smc1a;snrpb;smc1al;rad50;pole4;pnn;nme2b.1;lyar;tfr1a
HALLMARK_BILE_ACID_METABOLISM	dio2
HALLMARK_PEROXISOME	rdh12;cnbpa
HALLMARK_CHOLESTEROL_HOMEOSTASIS	trib3;pnrc1
HALLMARK_APOPTOSIS	txnipa;mmp2;irf1b;gsr
HALLMARK_PROTEIN_SECRETION	gnas;lamp2;tmed10
HALLMARK_MITOTIC_SPINDLE	smc1a;mid1ip1b;smc1al;alms1
HALLMARK_P53_PATHWAY	txnipa;trib3;rrp8;trafd1;nol8;ldhba;hint1;def6a
HALLMARK_COMPLEMENT	mt2;lamp2;ctsla;gmfb;irf1b;cd59
HALLMARK_UV_RESPONSE_DN	phf3;mt2;dbpa;pmp22b
HALLMARK_IL2_STAT5_SIGNALING	adam19b;slc1a5
HALLMARK_ESTROGEN_RESPONSE_LATE	siah2l;fkbp5;dusp2
HALLMARK_INFLAMMATORY_RESPONSE	cd40;irf1b;pkz;cmklr1
HALLMARK_PANCREAS_BETA_CELLS	sec11a;neurod1
HALLMARK_APICAL_JUNCTION	dhx16;mmp2;pbx2;nexn
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	h2afx;eif4a1a;sec11a;banf1
