gene_id,gene_name,logFC,logCPM,PValue,FDR
ENSDARG00000036587,cbr1,1.6160728016866936,4.571353067167446,6.68561119808786e-15,1.8541428389363668e-11
ENSDARG00000075706,si:ch211-106h4.9,-1.3214164488420457,5.767993443763739,4.585908184898713e-12,3.468614190759754e-9
ENSDARG00000025350,prdx2,1.060975541506244,4.741403216776525,8.592400782827118e-11,3.042075511196665e-8
ENSDARG00000023181,pcp4l1,-0.7728113579480567,5.584558671083176,4.983627560814689e-10,1.1548607539149589e-7
ENSDARG00000053101,prpf38b,-1.1528277894603678,5.847429265337929,1.1518639943112922e-9,2.0384336215026486e-7
ENSDARG00000041435,uba52,1.0841033001434852,4.937125015250694,2.116888965842503e-9,3.3870223453480044e-7
ENSDARG00000079488,zgc:195282,-2.253558053196209,0.2894989000239856,2.539958556300222e-9,3.9134176274847865e-7
ENSDARG00000031836,vps37c,-0.6300861718755176,4.974430230063565,3.6046165903837566e-9,5.215723483824844e-7
ENSDARG00000007320,rpl7,0.8572919099142309,6.699373547275615,5.17588123377941e-9,7.177221977507448e-7
ENSDARG00000092673,BX248497.1,-1.3320800460527613,4.09162248643242,5.924758665230219e-9,7.757214781746725e-7
ENSDARG00000101106,si:ch73-109d9.3,-0.73670227856425,4.310591657949853,5.967088293651327e-9,7.757214781746725e-7
ENSDARG00000038668,gbp1,-1.3283368925258345,1.4966138372302848,2.7448965536629414e-8,2.5918897255660463e-6
ENSDARG00000095191,si:dkey-57k2.7,-1.179517975832001,3.2532103285314498,4.418230098981384e-8,3.750987186073991e-6
ENSDARG00000061490,u2surp,-1.191334055569895,6.9814265503129525,4.793531075508036e-8,4.008259150575564e-6
ENSDARG00000115856,BX276105.1,-0.9694830270746748,2.6959945391806652,5.3546206428135035e-8,4.38920628061166e-6
ENSDARG00000055443,zcchc7,-0.8729817116898355,3.831578421051355,5.4404914353522127e-8,4.4377341904049415e-6
ENSDARG00000055099,fam184b,-1.0444274181720332,6.590664226666748,5.8416808133093775e-8,4.741735060169173e-6
ENSDARG00000076995,sharpin,-0.9212934507389162,5.104365183443331,6.574099331222151e-8,5.184502979693678e-6
ENSDARG00000052019,si:ch73-109d9.1,-1.0832401027096719,3.5878852902737295,1.0052906648375725e-7,7.525718375772668e-6
ENSDARG00000016399,riok1,-0.7695468160682557,4.270777011207179,1.0828648139087888e-7,7.937828415613325e-6
ENSDARG00000103038,pik3r3a,1.5397135952601682,4.394783526455141,1.0966436530579627e-7,7.968624623093668e-6
ENSDARG00000013505,ube2kb,-0.609333442319997,5.629131283856007,1.1771488427550707e-7,8.299896925188295e-6
ENSDARG00000076928,tet2,-0.725793345642544,6.883749829191125,1.2054959494548244e-7,8.428341428121123e-6
ENSDARG00000022303,higd1a,0.8827372779277817,4.638650557144919,1.2679483365892138e-7,8.718454678034925e-6
ENSDARG00000079631,si:ch211-113e8.10,-0.697816641922759,5.344786022421669,1.4982394015956044e-7,9.854033060296782e-6
ENSDARG00000069619,atf7ip,-0.648766687273923,6.861500672545893,1.7433257032888463e-7,1.1157284501048617e-5
ENSDARG00000058270,COLGALT1,-1.342144885110009,4.776031658712816,2.0455703927667397e-7,1.2606774568755017e-5
ENSDARG00000069595,si:ch211-214c7.4,-0.6008900494059763,5.9933503024037496,2.466854863485951e-7,1.4402970150317974e-5
ENSDARG00000038608,sdhc,1.1613335957665851,4.530052911423041,2.7740118123329244e-7,1.5700529441231245e-5
ENSDARG00000039650,itm2cb,0.7647333703850634,6.548542186990095,3.699420096943504e-7,1.9542333464488858e-5
ENSDARG00000100371,eef2b,0.6411081257348803,9.039535414376555,4.444421751701958e-7,2.215863400969921e-5
