gene_id,gene_name,logFC,logCPM,PValue,FDR,entrezid,aveLen,aveGc
ENSMUSG00000023031,Cela1,7.1563425625280805,9.022926563864633,3.16594686331737e-69,3.3628687582157104e-65,109901,639.1111111111111,53.981223922114054
ENSMUSG00000032265,Tent5a,1.2982398092188474,7.056329943176714,1.0810735631531989e-64,5.741581693906639e-61,212943,5563.5,43.24615799406851
ENSMUSG00000044258,Ctla2a,2.674066960469118,5.055763109759725,6.417588515893353e-55,2.27225417386064e-51,13024,791.6666666666666,45.10877192982456
ENSMUSG00000029135,Fosl2,1.862485267654322,5.116781390119029,2.0605299040496567e-52,5.471737160203863e-49,14284,3905.3333333333335,53.60191191532948
ENSMUSG00000024424,Ttc39c,1.2189293277384536,5.147726977991572,1.2284449456318052e-34,2.6097084425002073e-31,72747,1976.75,49.93044138105477
ENSMUSG00000046447,Camk2n1,1.9787041753621126,4.856408279961507,1.2026079751592853e-31,2.129016985356988e-28,66259,4444,53.7128712871287
ENSMUSG00000047180,Neurl3,0.7601879304460301,7.012696304205813,1.411322470321933e-31,2.141581039965653e-28,214854,1902,53.995793901156695
ENSMUSG00000026069,Il1rl1,1.3624348435289806,8.97109648857728,3.441045122096419e-31,4.56884766086352e-28,17082,2921.4,43.36277127404671
ENSMUSG00000039208,Metrnl,1.4449834173779454,5.160915535499565,1.5105726403257705e-30,1.7828113983933705e-27,210029,1051.3333333333333,56.02409638554216
ENSMUSG00000073102,Drc1,-0.6841833925228753,6.848840139154425,1.5933143763186563e-27,1.692418530525677e-24,381738,909.75,50.86562242374279
ENSMUSG00000030717,Nupr1,4.940657236456295,4.537562849509093,8.309719340904454e-27,8.024167167189737e-24,56312,879,52.52180508153203
ENSMUSG00000029603,Dtx1,-2.4483606795593014,7.863480534463582,3.207888509106722e-26,2.8395159786443e-23,14357,1790.8333333333333,59.76733364355512
ENSMUSG00000027111,Itga6,-0.5936493840816803,8.203892314696532,5.218562479404189e-26,4.2639669735562536e-23,16403,2363.3333333333335,47.3389750822755
ENSMUSG00000039899,Fgl2,1.2867946983110279,7.557220888558957,1.6506509396052765e-25,1.2523724486062318e-22,14190,3788,40.5755015839493
ENSMUSG00000022015,Tnfsf11,0.9923255314172303,5.516917957315982,2.515841663416841e-25,1.7815513432542456e-22,21943,2236,44.9016100178891
ENSMUSG00000044162,Tnip3,-1.746226757629013,2.6797954386236524,7.304262635652974e-23,4.849117357244118e-20,414084,1969.375,40.53951126626467
ENSMUSG00000001542,Ell2,1.2046265861848393,4.730276784548291,7.047366606504497e-21,4.403360476134751e-18,192657,1685.888888888889,43.16878666051538
ENSMUSG00000028494,Plin2,1.3245655732356365,5.670437839147232,1.5075029409555725e-20,8.895942354905606e-18,11520,861,51.00174216027875
ENSMUSG00000024054,Smchd1,-0.5512016462284315,7.640928071092977,1.7066615648272818e-20,9.541136390313362e-18,74355,2016.5833333333333,42.324062977809
